trade_date,signal_datetime_et,family,futures_root,available_report_date,as_of_date,official_release_datetime_et,cftc_contract_market_code,leveraged_money_net_pct_oi,leveraged_money_crowding_percentile,crowding_observation_count,crowding_eligible,quality_status
2011-01-24,2011-01-24T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-25,2011-01-25T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-25,2011-01-25T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-25,2011-01-25T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-26,2011-01-26T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-26,2011-01-26T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-26,2011-01-26T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-27,2011-01-27T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-27,2011-01-27T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-27,2011-01-27T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-28,2011-01-28T13:00:00,SP500,ES,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,13874A,-0.11408981114522353,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-28,2011-01-28T13:00:00,NASDAQ100,NQ,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,209742,0.18786636028042852,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-28,2011-01-28T13:00:00,RUSSELL2000,RTY,2011-01-18,2011-01-18,2011-01-21T15:30:00-05:00,23977A,-0.14198575809810882,,27,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-29,2011-01-29T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-29,2011-01-29T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-29,2011-01-29T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-30,2011-01-30T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-30,2011-01-30T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-30,2011-01-30T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-31,2011-01-31T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-31,2011-01-31T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-31,2011-01-31T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-01,2011-02-01T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-01,2011-02-01T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-01,2011-02-01T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-02,2011-02-02T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-02,2011-02-02T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-02,2011-02-02T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-03,2011-02-03T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-03,2011-02-03T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-03,2011-02-03T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-04,2011-02-04T13:00:00,SP500,ES,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,13874A,-0.10960896587225986,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-04,2011-02-04T13:00:00,NASDAQ100,NQ,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,209742,0.21800965175427156,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-04,2011-02-04T13:00:00,RUSSELL2000,RTY,2011-01-25,2011-01-25,2011-01-28T15:30:00-05:00,23977A,-0.1642716743778161,,28,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-05,2011-02-05T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-05,2011-02-05T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-05,2011-02-05T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-06,2011-02-06T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-06,2011-02-06T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-06,2011-02-06T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-07,2011-02-07T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-07,2011-02-07T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-07,2011-02-07T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-08,2011-02-08T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-08,2011-02-08T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-08,2011-02-08T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-09,2011-02-09T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-09,2011-02-09T13:00:00,NASDAQ100,NQ,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,209742,0.24217854217854218,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-09,2011-02-09T13:00:00,RUSSELL2000,RTY,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,23977A,-0.16624195658717883,,29,False,INSUFFICIENT_104_WEEK_HISTORY
2011-02-10,2011-02-10T13:00:00,SP500,ES,2011-02-01,2011-02-01,2011-02-04T15:30:00-05:00,13874A,-0.10705858934573316,,29,False,INSUFFICIENT_104_WEEK_HISTORY
