date,family,futures_root,fund_count,expected_fund_count,total_prior_day_aum,rebalance_coefficient_t1,rebalance_coefficient_t2,prior_day_date,second_prior_day_date,contributing_tickers,data_quality,source_version
2011-01-24,SP500,ES,5,5,5597195096.86,22979677245.42,22981243552.14,2011-01-21,2011-01-20,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-25,NASDAQ100,NQ,5,5,1896694191.94,7347070318.61,7359137493.48,2011-01-24,2011-01-21,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-25,RUSSELL2000,RTY,5,5,968641178.81,3907393217.16,3975920702.92,2011-01-24,2011-01-21,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-25,SP500,ES,5,5,5635721493.07,23241524049.76,22979677245.42,2011-01-24,2011-01-21,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-26,NASDAQ100,NQ,5,5,1913381442.60,7453262821.79,7347070318.61,2011-01-25,2011-01-24,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-26,RUSSELL2000,RTY,5,5,958566429.18,3883598718.99,3907393217.16,2011-01-25,2011-01-24,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-26,SP500,ES,5,5,5684965478.93,23392622022.03,23241524049.76,2011-01-25,2011-01-24,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-27,NASDAQ100,NQ,5,5,1924897694.36,7517515330.08,7453262821.79,2011-01-26,2011-01-25,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-27,RUSSELL2000,RTY,5,5,956907686.06,3844210252.73,3883598718.99,2011-01-26,2011-01-25,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-27,SP500,ES,5,5,5705374210.00,23441479493.10,23392622022.03,2011-01-26,2011-01-25,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-28,NASDAQ100,NQ,5,5,1941354897.24,7562372544.00,7517515330.08,2011-01-27,2011-01-26,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-28,RUSSELL2000,RTY,5,5,957590437.05,3870878757.63,3844210252.73,2011-01-27,2011-01-26,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-28,SP500,ES,5,5,5721578332.83,23627387743.84,23441479493.10,2011-01-27,2011-01-26,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-31,NASDAQ100,NQ,5,5,1927298936.26,7660928790.45,7562372544.00,2011-01-28,2011-01-27,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-31,RUSSELL2000,RTY,5,5,973598426.36,3985283703.69,3870878757.63,2011-01-28,2011-01-27,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-31,SP500,ES,5,5,5817649893.41,24337684825.93,23627387743.84,2011-01-28,2011-01-27,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-01,NASDAQ100,NQ,5,5,1943206938.16,7707518799.16,7660928790.45,2011-01-31,2011-01-28,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-01,RUSSELL2000,RTY,5,5,982453929.21,3978659717.54,3985283703.69,2011-01-31,2011-01-28,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-01,SP500,ES,5,5,5820891426.32,24307683907.12,24337684825.93,2011-01-31,2011-01-28,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-02,NASDAQ100,NQ,5,5,1953098195.55,7671055333.92,7707518799.16,2011-02-01,2011-01-31,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-02,RUSSELL2000,RTY,5,5,989967688.15,3989518261.50,3978659717.54,2011-02-01,2011-01-31,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-02,SP500,ES,5,5,5817987907.45,24085402904.01,24307683907.12,2011-02-01,2011-01-31,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-03,NASDAQ100,NQ,5,5,1949772194.85,7735108330.48,7671055333.92,2011-02-02,2011-02-01,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-03,RUSSELL2000,RTY,5,5,1005591186.71,4088485254.10,3989518261.50,2011-02-02,2011-02-01,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-03,SP500,ES,5,5,5883027562.99,24501824209.25,24085402904.01,2011-02-02,2011-02-01,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-04,NASDAQ100,NQ,5,5,1958233445.31,7778474832.81,7735108330.48,2011-02-03,2011-02-02,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-04,RUSSELL2000,RTY,5,5,1010469688.06,4112764260.96,4088485254.10,2011-02-03,2011-02-02,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-04,SP500,ES,5,5,5906777907.37,24613945903.52,24501824209.25,2011-02-03,2011-02-02,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-07,NASDAQ100,NQ,5,5,1961317898.03,7750187545.92,7778474832.81,2011-02-04,2011-02-03,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-07,RUSSELL2000,RTY,5,5,1021397188.84,4175521264.86,4112764260.96,2011-02-04,2011-02-03,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-07,SP500,ES,5,5,5898309487.71,24525606070.59,24613945903.52,2011-02-04,2011-02-03,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-08,NASDAQ100,NQ,5,5,1961477450.10,7743581856.04,7750187545.92,2011-02-07,2011-02-04,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-08,RUSSELL2000,RTY,5,5,1008079193.29,4079443287.53,4175521264.86,2011-02-07,2011-02-04,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-08,SP500,ES,5,5,5856236120.17,24292526349.59,24525606070.59,2011-02-07,2011-02-04,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-09,NASDAQ100,NQ,5,5,1965085402.87,7719758569.80,7743581856.04,2011-02-08,2011-02-07,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-09,RUSSELL2000,RTY,5,5,995213696.33,4032364303.17,4079443287.53,2011-02-08,2011-02-07,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-09,SP500,ES,5,5,5809286351.60,24089458822.81,24292526349.59,2011-02-08,2011-02-07,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-10,NASDAQ100,NQ,5,5,1964057952.28,7722752866.80,7719758569.80,2011-02-09,2011-02-08,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-10,RUSSELL2000,RTY,5,5,976513193.84,4010707290.18,4032364303.17,2011-02-09,2011-02-08,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-10,SP500,ES,5,5,5822398757.03,24237801627.41,24089458822.81,2011-02-09,2011-02-08,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-11,NASDAQ100,NQ,5,5,1974228903.03,7838963570.56,7722752866.80,2011-02-10,2011-02-09,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-11,RUSSELL2000,RTY,5,5,981537445.79,4035167800.32,4010707290.18,2011-02-10,2011-02-09,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-11,SP500,ES,5,5,5819397700.38,24210627515.91,24237801627.41,2011-02-10,2011-02-09,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-14,NASDAQ100,NQ,5,5,1988796955.89,7908845884.84,7838963570.56,2011-02-11,2011-02-10,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-14,RUSSELL2000,RTY,5,5,976566701.17,3988912328.12,4035167800.32,2011-02-11,2011-02-10,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-14,SP500,ES,5,5,5793081125.46,24026158379.40,24210627515.91,2011-02-11,2011-02-10,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-15,NASDAQ100,NQ,5,5,2006473707.12,7927735390.96,7908845884.84,2011-02-14,2011-02-11,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-15,RUSSELL2000,RTY,5,5,974918953.38,3972410839.69,3988912328.12,2011-02-14,2011-02-11,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-15,SP500,ES,5,5,5790829769.96,23979788874.43,24026158379.40,2011-02-14,2011-02-11,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-16,NASDAQ100,NQ,5,5,2000106906.51,7935554587.92,7927735390.96,2011-02-15,2011-02-14,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-16,RUSSELL2000,RTY,5,5,977326199.98,3996829321.82,3972410839.69,2011-02-15,2011-02-14,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-16,SP500,ES,5,5,5797720639.33,24063649405.64,23979788874.43,2011-02-15,2011-02-14,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-17,NASDAQ100,NQ,5,5,1991076459.65,7879301903.68,7935554587.92,2011-02-16,2011-02-15,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-17,RUSSELL2000,RTY,5,5,975745454.76,3973235846.80,3996829321.82,2011-02-16,2011-02-15,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-17,SP500,ES,5,5,5790724222.07,23902044386.31,24063649405.64,2011-02-16,2011-02-15,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-18,NASDAQ100,NQ,5,5,1991602659.61,7883131103.52,7879301903.68,2011-02-17,2011-02-16,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-18,RUSSELL2000,RTY,5,5,975759208.15,3963343364.66,3973235846.80,2011-02-17,2011-02-16,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-18,SP500,ES,5,5,5783924838.48,23818618826.96,23902044386.31,2011-02-17,2011-02-16,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-22,NASDAQ100,NQ,5,5,1980594658.55,7871668098.07,7883131103.52,2011-02-18,2011-02-17,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-22,RUSSELL2000,RTY,5,5,980415208.68,3989779367.52,3963343364.66,2011-02-18,2011-02-17,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-02-22,SP500,ES,5,5,5778840025.52,23762034405.93,23818618826.96,2011-02-18,2011-02-17,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
